views,likes,dislikes,comment_count
560691,18085,180,5465
33754,83,24,14
913840,9438,1240,4157
29014,1954,85,433
55192,4684,39,1183
399491,6240,326,287
76484,1798,240,1251
15431,267,2,13
4734409,60348,2844,2248
5156718,198368,200391,74776
668826,26926,401,4650
157590,14465,79,5723
136789,295,13,37
334598,15069,154,2106
523181,19398,238,3140
49231,3388,28,398
418230,29932,186,2275
4851,31,0,0
96334,483,40,103
66438,216,76,201
104643,259,84,143
567803,43269,4038,2872
347848,10046,84,433
391642,4378,371,1553
1663206,38322,3867,9107
405955,30369,926,4523
286273,1264,335,782
1544710,12417,803,2186
16825,102,23,36
815179,32264,3313,3487
109639,722,139,34
249735,5642,137,1041
45662,219,57,63
214480,20837,614,2439
533561,15499,905,2642
198666,1110,389,1020
52967,3083,49,792
1013926,43638,378,4737
124697,906,49,286
6236,28,6,3
339499,3298,438,1070
185267,14896,65,835
37857,163,14,53
697151,56579,307,5556
179243,14112,240,2245
571588,386,47,113
166458,1825,112,194
1215475,18646,697,419
643350,33747,443,4054
203345,573,133,804
102591,1766,33,362
584612,2102,186,546
860583,98526,801,11224
437979,8787,287,1616
37593,146,23,20
4200230,140100,1996,10522
5792827,48443,1230,1835
1012191,7769,362,1528
116314,3819,73,368
1088925,90341,632,4634
30843,80,45,9
51102,437,51,1016
149138,2624,67,194
311936,2627,1196,3621
58633,1189,93,842
639326,38129,1348,3211
1670638,46666,679,2595
86797,1668,5,67
250174,2671,126,574
1562510,50710,1002,1246
474689,7061,368,1202
454790,14853,133,1383
289855,1924,176,287
309388,2908,201,2214
86826,1167,77,692
527677,38597,416,1422
41534,8542,26,2597
12974558,216320,17751,12133
250837,3775,5313,3493
148959,3635,67,565
241896,3049,142,1683
988066,31614,761,3424
84605,4338,268,333
617754,1923,168,1388
2010012,111876,1169,20228
114216,4319,66,4940
821725,24922,758,5352
192550,16263,169,1870
790665,32185,1318,5428
220893,15261,70,1832
52926,410,30,237
110981,4590,75,315
351660,527,125,275
233803,12837,297,4073
306485,9573,396,3148
163926,1118,150,390
11810521,142237,9944,11907
541428,1128,1036,691
814126,71050,1805,12175
102835,666,87,305
891912,122350,455,7459
3979891,151850,2378,8079
5531707,72727,3362,14816
2900560,37330,34908,10768
2223948,76807,1169,4176
3842156,43972,2288,2854
1147169,31832,1902,1498
1961066,142740,773,8471
2893243,202959,3900,18800
17862,1013,36,47
415096,8687,83,147
3621389,141682,1289,8127
645569,11541,206,734
807094,30687,979,4867
2918106,93040,1765,6493
1012513,20036,6510,5153
52323,806,55,129
1451881,16654,830,1632
127747,156,50,292
1470628,64893,2282,14080
