views,likes,dislikes,comment_count
501107,66478,5767,9094
39354,5941,142,394
86342,636,54,326
747529,2920,144,793
202373,4483,2225,185
370617,836,110,538
703631,15716,849,2864
514924,13922,502,4661
3280361,12863,1527,4594
1461658,6136,370,1512
37225,9,9,2
461908,1567,304,744
299761,8689,492,2807
154980,534,101,47
506934,38717,479,2500
146794,2381,285,986
581881,26824,435,6658
340103,15808,178,570
2952,26,0,0
163980,8650,129,1341
1923973,138077,2830,10465
68206,1025,59,454
308429,996,154,503
75341,3762,73,447
1891954,86481,879,8941
207117,2869,152,530
8267,363,9,253
185706,4970,113,1016
410442,2386,133,351
575451,2473,768,282
242382,19934,154,1183
619606,4883,117,169
1604469,22075,1035,4651
410390,2395,277,602
75193,724,90,282
426783,16242,163,1704
418595,4023,346,665
197535,5158,253,818
120900,2152,75,13
289862,1267,84,115
30470,131,17,31
619920,7604,2603,1969
114933,511,18,25
478206,16534,435,2676
105060,323,128,202
180342,1779,55,171
425252,24521,295,1358
2647746,193092,3473,19642
33945,2096,16,388
325569,12404,1024,1437
86277,634,85,305
654378,3377,227,897
561583,4171,280,282
812479,17098,223,2970
59491,4470,54,554
83321,719,110,539
101088,3754,143,536
29999,1602,11,209
2794,17,1,0
2597587,83723,15686,21213
601989,33903,4831,13468
936865,20887,1637,5388
215200,2090,384,1153
278943,10248,44,1052
204852,843,175,293
41695,2217,61,632
149107,4181,256,430
131160,5939,68,416
1347495,33751,1092,1312
142707,2815,481,681
317620,2215,322,426
778605,17262,751,755
249413,4204,222,564
283969,16131,504,1881
1992282,10103,629,1971
144002,6047,77,446
62306,374,17,32
729603,40962,430,8336
123281,4346,261,1640
1875686,118922,1122,8233
2638137,91307,3043,12009
69110,282,18,21
26718,653,39,394
837867,36675,549,16619
128405,2313,191,945
271491,962,107,979
125958,3144,60,273
5889680,458893,4635,22510
195305,2111,115,72
46672,4831,40,352
53441,307,73,33
768171,0,0,582
376566,1466,117,207
403593,8649,129,1373
120278,2598,90,838
64196,392,54,85
156462,11880,23,874
72945,355,8,46
739774,4372,950,1489
467751,34961,887,11633
216416,3578,151,1907
553887,18923,258,2278
198718,2028,154,916
2259727,52796,2091,7733
184690,8180,79,665
446729,8438,276,709
7914,4,1,1
70748,606,91,269
14478580,332272,6789,42047
1326266,12282,426,1390
1609627,22942,1590,2314
3914524,218328,3066,19437
1136686,12260,3978,6087
1145941,15400,3484,3313
5617078,328517,7469,92222
892555,44085,1088,9620
764099,41192,3398,3405
1553996,56447,1221,9954
693291,51844,534,5358
2206768,24283,756,3619
993699,11257,194,751
798010,43453,6725,3827
13987067,137904,12199,25189
578128,5705,225,777
458899,42684,1475,4990
2563022,73910,2258,12505
116258,118,32,184
2653677,208706,3697,21614
2314066,22064,1996,1644
453228,16036,159,509
623222,27803,911,4386
219726,1066,186,210
2724124,69404,1290,3999
47078714,1763398,78228,101453
901202,41793,3772,7917
388590,3149,65,463
1257634,6971,1342,1230
2610053,85307,1997,5381
327936,11643,584,1305
1214852,14416,1658,1927
789527,23129,364,4812
27623,249,24,141
69698,45,18,10
347720,8695,354,834
494138,22089,306,2875
113756,9810,60,735
771332,84031,474,5081
438792,17098,222,9402
311116,53818,138,10283
64800,630,44,336
2032801,116459,1645,1631
1967661,107404,1159,9359
582841,26750,663,1604
225299,2894,60,711
619941,3782,936,646
353570,20145,488,977
9964832,196513,4589,33718
2278512,30365,1157,1292
211515,805,35,383
10003191,114960,6844,9965
211987,10150,200,2032
6191109,164265,4052,7629
1959305,95081,1382,1432
325741,1686,277,185
1751244,20010,1383,2130
455289,14026,441,2340
117978,1284,32,430
333807,1154,128,858
588418,19218,560,2625
458593,5911,77,262
3867178,432418,14954,37772
1645731,61560,715,5052
97929,4063,127,1662
2210421,146431,3262,8836
223916,1490,258,1093
168063,89,40,129
264174,4401,126,820
269526,6222,381,2160
11218307,216489,8821,11975
452158,55766,952,2567
809452,25808,714,6678
1367664,84460,4564,4186
487894,12963,302,403
1056220,8709,509,4358
149205,2621,133,505
692772,4998,400,1506
912643,47845,489,3049
169111,5171,28,241
269184,23209,1088,7819
248198,3686,234,811
372127,17272,106,922
151534,911,104,137
108339,663,427,801
484135,11671,887,3620
39002,2236,20,408
211081,20111,209,1864
638074,32480,772,1865
435032,9944,595,3291
569124,16053,1631,2692
1054338,14953,538,1511
196911,666,102,69
52747,199,22,21
126961,1019,95,254
12686,1057,26,244
615664,4113,282,361
7388662,607099,11887,37571
188012,3429,113,1126
11362593,311332,6888,13985
882730,8635,851,2429
58919,912,26,151
375616,3914,334,1325
171686,583,167,18
938926,59101,659,12441
436937,1286,157,1382
1113747,45238,2610,5757
1757756,98822,3959,6906
382916,10833,245,2875
376740,10277,147,997
291413,695,1167,618
4200368,408291,14150,35577
172316,1412,51,607
55330,522,49,220
107140,357,58,131
570276,21538,310,690
123251,3601,149,400
606692,11564,2321,2193
451973,16366,82,1324
65172,437,68,426
420149,2330,1497,1370
38200,331,13,24
329429,17104,242,4882
277350,4079,761,933
614817,16542,395,1699
159988,1903,133,729
224651,10504,300,1586
1628016,38511,3070,3024
30330,434,19,67
182695,2647,355,1027
441753,4539,267,1787
1137277,44392,682,3949
266239,8064,399,4512
147891,2153,117,517
671977,2448,166,1037
8490,366,10,22
73129,3369,61,214
276007,16739,159,1322
32489,32,7,41
1791666,126312,1802,16468
441532,922,125,588
167366,375,8,151
60371,2651,69,384
1835818,93066,1803,2715
788390,25856,183,3026
230718,1592,250,1045
303544,2081,223,440
740800,29331,197,1530
1730,25,0,1
193956,4852,95,450
53379,867,69,533
7440,327,6,197
57022,316,12,30
276510,9149,205,1584
859829,5574,2505,5315
2043146,36153,878,5527
158766,5793,23,390
169232,1235,434,498
1964034,106397,2898,9613
150215,15234,229,886
58497,1370,50,160
79247,0,0,133
55086,7315,217,512
454173,3537,112,503
154964,1394,98,374
269061,6410,392,811
464220,27286,490,1424
3460999,161692,1779,5019
387566,6851,1198,1830
5181,194,2,23
4328193,14934,390,2670
85619,369,8,52
404383,2613,210,789
50820,269,36,653
139860,11811,172,1356
368946,7658,4479,1743
233310,2796,138,1503
329856,6924,72,397
646913,1967,441,739
37661,545,27,264
1073485,29937,776,2616
235654,4145,4353,2269
32819,666,1039,1764
413638,16973,470,4847
91997,6425,236,1435
270226,11326,174,1318
24478,146,18,132
111075,808,42,78
177731,697,283,522
157711,839,93,260
26710,572,6,67
2304099,10084,856,2539
213574,5180,112,1800
682650,44135,296,7694
1587706,88440,1367,7907
66326,6803,22,972
72127,455,42,182
5670852,262508,3453,16321
2484089,150573,3873,10683
17613871,369520,7892,45240
8839267,395070,6146,28049
1043215,33389,587,4553
1902516,15189,548,1903
852717,27913,584,2494
1819783,17552,6131,7955
1902537,25343,1904,2708
890279,54503,1068,10271
1627849,20223,4632,4416
770692,72020,1010,6481
918567,27054,779,4238
37007,473,34,62
1345479,58772,5490,5079
1018415,13741,448,1156
1834104,19301,370,1149
475938,5536,145,1219
116690,167,23,259
308259,1294,247,227
428069,8116,228,961
723917,19584,540,9244
5979360,338607,7953,95327
847794,25569,741,3783
2424917,51774,9258,5283
1053325,9973,499,1514
183935,7939,113,1001
1852073,66515,7305,11038
1002132,16444,598,811
433105,9050,622,1038
272316,8858,127,815
578050,4483,106,581
893783,62180,650,6051
4509454,114590,2918,7003
421279,11447,567,1975
328956,3742,314,897
643778,49283,2244,5962
2051979,44906,1642,9802
530364,24862,1389,4270
1696299,59250,1311,9526
3070103,222200,4092,22789
188779,13273,1589,3379
428452,2838,530,253
2375319,25043,805,3690
104483,57,27,14
306473,1645,281,201
450569,3124,1160,10140
1716171,144873,1039,8033
154261,9078,92,1464
359967,9656,228,1841
702850,25835,521,974
530628,17691,190,543
77340,3471,132,422
290800,20546,282,3714
1122844,33175,1068,4660
349779,1923,306,907
249255,7921,125,1040
1742272,8664,2276,1793
16829,510,18,464
689014,1552,167,839
36044,299,35,211
728343,23027,339,11503
2682799,76081,2347,12828
220173,1967,46,395
129738,4032,98,944
347200,25930,4041,10093
240168,7491,131,735
181794,180,14,89
449077,32360,762,2346
150907,91,34,178
690657,60850,470,3919
611573,119905,479,27614
550813,49328,319,1567
1542768,17335,2014,2402
77848,791,19,213
154089,2496,171,518
106512,893,97,670
190850,11066,96,1378
522265,25431,802,1171
87360,1262,81,558
2915115,72217,1379,3834
530152,43428,433,2179
612098,25114,360,3347
114917,8946,112,677
2355918,22232,2012,1669
252590,12885,571,2346
850117,36676,783,4596
784926,31510,1018,1972
534109,20814,166,1144
148005,523,122,21
296589,1984,1076,4712
589119,2450,1092,926
1670899,6511,375,1506
497766,7520,6844,4935
193082,2387,35,163
587028,15386,414,1189
76832,3373,100,1625
121277,7102,743,2217
660670,7603,603,1556
907902,37539,1589,1603
679202,5867,242,1748
15940901,149364,10549,12849
320740,5092,151,954
749817,3897,378,653
406955,12731,131,1302
